rank,county,per_capita_income,population,region
1,Cook,30468,5238216,1
2,DuPage,38931,933736,2
3,Lake,38459,703910,2
4,Will,30791,687263,2
5,Kane,30645,530847,2
6,Mason,23937,307343,2
7,Winnebago,24802,287078,2
8,McLean,30728,266209,5
9,Shelby,23279,264052,5
10,Champaign,26087,208861,3
11,Saline,21295,198712,4
12,Peoria,28414,186221,3
13,Massac,23190,173166,3
14,Rock Island,26257,146133,3
15,Tazewell,28953,134800,3
16,Kendall,31110,123355,2
17,LaSalle,25668,111333,3
18,Kankakee,24117,110879,2
19,McDonough,20592,107303,4
20,De Witt,27575,104352,4
21,Vermilion,21924,79282,3
22,Williamson,24096,67466,5
23,Adams,24247,67013,4
24,Jackson,20729,59362,5
25,Whiteside,24815,57079,2
26,Boone,25950,53585,2
27,Coles,22464,52521,4
28,Ogle,27337,51659,2
29,Knox,22273,51441,3
30,Grundy,29439,50541,2
31,Henry,26845,49489,3
32,McHenry,33118,46045,4
33,Stephenson,23686,45749,2
34,Franklin,20591,39485,5
35,Woodford,30300,39227,3
36,Jefferson,22849,38353,5
37,Macon,26259,38339,5
38,Clinton,28255,37786,5
39,Livingston,25831,36671,3
40,Fulton,22478,35699,3
41,Morgan,24822,34828,4
42,Lee,24943,34584,2
43,Effingham,26774,34371,4
44,Monroe,33059,33879,5
45,Christian,24016,33642,4
46,Bureau,26587,33587,3
47,Randolph,22771,32852,5
48,Marshall,26399,31333,3
49,Logan,21986,29494,4
50,Montgomery,20067,28898,4
51,Iroquois,25234,28672,3
52,St. Clair,26459,24548,5
53,Jersey,26154,22372,4
54,Jo Daviess,29477,22086,2
55,Fayette,21845,22043,5
56,Scott,24395,21775,4
57,Perry,19999,21543,5
58,Douglas,24330,19823,4
59,Crawford,25613,19414,5
60,Hancock,24418,18543,4
61,Edgar,25018,17664,4
62,Warren,22923,17527,3
63,Union,22430,17408,5
64,Bond,23232,16950,5
65,Lawrence,14208,16491,5
66,Wayne,23897,16423,5
67,Piatt,31750,16387,4
68,DeKalb,23903,16247,2
69,Richland,23996,16029,5
70,Pike,20925,15989,4
71,Clark,25061,15979,4
72,Mercer,26739,15858,3
73,Moultrie,23801,14931,4
74,Marion,22398,14766,5
75,Carroll,26918,14616,2
76,White,26388,14327,5
77,Washington,27996,14270,5
78,Ford,25495,13736,3
79,Madison,28093,13701,3
80,Clay,22160,13428,5
81,Greene,22483,13241,4
82,Cass,23423,12847,4
83,Johnson,19684,12762,5
84,Menard,29391,12444,4
85,Macoupin,25402,11982,3
86,Wabash,24493,11542,5
87,Cumberland,22631,10898,4
88,Jasper,25063,9607,5
89,Hamilton,23160,8200,5
90,Sangamon,30594,7032,4
91,Henderson,27132,6995,3
92,Brown,20518,6829,4
93,Alexander,14052,6780,5
94,Edwards,21896,6534,5
95,Stark,27104,5788,3
96,Pulaski,19575,5678,5
97,Putnam,28158,5644,3
98,Gallatin,22890,5265,5
99,Schuyler,23852,5092,4
100,Calhoun,26446,4899,4
101,Pope,21431,4226,5
102,Hardin,21901,4135,5
